model,fs_method,k,accuracy
knn,em,41,0.5980392156862745
lr,em,41,0.5500891265597148
nb,em,42,0.35525846702317293
rf,em,42,0.6390374331550801
knn,em,42,0.5980392156862745
lr,em,42,0.5500891265597148
nb,em,43,0.361319073083779
rf,em,43,0.6270944741532978
knn,em,43,0.5980392156862745
lr,em,43,0.5500891265597148
nb,em,44,0.361319073083779
rf,em,44,0.6392156862745098
knn,em,44,0.5862745098039215
lr,em,44,0.5561497326203209
nb,em,45,0.3493761140819965
rf,em,45,0.6212121212121212
knn,em,45,0.5862745098039215
lr,em,45,0.5561497326203209
nb,em,46,0.3611408199643494
rf,em,46,0.6270944741532977
knn,em,46,0.6269162210338681
lr,em,46,0.6270944741532977
nb,em,47,0.36702317290552583
rf,em,47,0.6156862745098038
knn,em,47,0.6329768270944741
lr,em,47,0.6212121212121212
nb,em,48,0.36702317290552583
rf,em,48,0.6213903743315508
knn,em,48,0.6270944741532977
lr,em,48,0.6212121212121212
nb,em,49,0.36702317290552583
rf,em,49,0.6212121212121212
knn,em,49,0.6270944741532977
lr,em,49,0.6212121212121212
nb,em,50,0.37308377896613193
rf,em,50,0.6272727272727272
knn,em,50,0.6270944741532977
lr,em,50,0.6212121212121212
nb,em,51,0.3848484848484849
rf,em,51,0.6331550802139037
knn,em,51,0.6270944741532977
lr,em,51,0.6270944741532978
nb,em,52,0.3848484848484849
rf,em,52,0.6508021390374331
knn,em,52,0.6270944741532977
lr,em,52,0.6270944741532978
nb,em,53,0.3850267379679144
rf,em,53,0.6450980392156862
knn,em,53,0.6090909090909091
lr,em,53,0.6329768270944741
nb,em,54,0.3791443850267379
rf,em,54,0.62174688057041
knn,em,54,0.6032085561497327
lr,em,54,0.6329768270944741
nb,em,55,0.3791443850267379
rf,em,55,0.6213903743315508
knn,em,55,0.626916221033868
lr,em,55,0.6390374331550801
nb,em,56,0.3967914438502674
rf,em,56,0.6096256684491979
knn,em,56,0.6090909090909091
lr,em,56,0.6450980392156863
nb,em,57,0.39090909090909093
rf,em,57,0.6155080213903743
knn,em,57,0.6149732620320856
lr,em,57,0.6509803921568628
nb,em,58,0.367379679144385
rf,em,58,0.633511586452763
knn,em,58,0.620855614973262
lr,em,58,0.6329768270944741
nb,em,59,0.367379679144385
rf,em,59,0.6629233511586452
knn,em,59,0.620855614973262
lr,em,59,0.6329768270944741
nb,em,60,0.4026737967914438
rf,em,60,0.6392156862745098
knn,em,60,0.6149732620320856
lr,em,60,0.6331550802139037
nb,em,61,0.3850267379679145
rf,em,61,0.6215686274509804
knn,em,61,0.6032085561497327
lr,em,61,0.6390374331550802
nb,em,62,0.3850267379679145
rf,em,62,0.6270944741532977
knn,em,62,0.6032085561497327
lr,em,62,0.6390374331550802
nb,em,63,0.39679144385026743
rf,em,63,0.6392156862745099
knn,em,63,0.6090909090909091
lr,em,63,0.6449197860962567
nb,em,64,0.39679144385026743
rf,em,64,0.6392156862745099
knn,em,64,0.6090909090909091
lr,em,64,0.6449197860962567
nb,em,65,0.39679144385026743
rf,em,65,0.6212121212121212
knn,em,65,0.603030303030303
lr,em,65,0.6331550802139037
nb,em,66,0.40285204991087353
rf,em,66,0.6333333333333333
knn,em,66,0.5973262032085562
lr,em,66,0.6331550802139037
nb,em,67,0.41461675579322643
rf,em,67,0.6447415329768271
knn,em,67,0.5855614973262032
lr,em,67,0.6272727272727272
nb,em,68,0.41461675579322643
rf,em,68,0.6333333333333333
knn,em,68,0.5914438502673797
lr,em,68,0.6270944741532977
nb,em,69,0.41461675579322643
rf,em,69,0.6509803921568627
knn,em,69,0.5914438502673797
lr,em,69,0.6270944741532977
nb,em,70,0.3966131907308378
rf,em,70,0.6568627450980392
knn,em,70,0.5914438502673797
lr,em,70,0.6270944741532977
nb,em,71,0.40249554367201423
rf,em,71,0.6390374331550802
knn,em,71,0.5912655971479501
lr,em,71,0.6449197860962567
nb,em,72,0.4265597147950089
rf,em,72,0.6688057040998219
knn,em,72,0.5912655971479501
lr,em,72,0.6450980392156862
nb,em,73,0.4204991087344029
rf,em,73,0.6392156862745098
knn,em,73,0.5853832442067736
lr,em,73,0.6331550802139037
nb,em,74,0.4028520499108734
rf,em,74,0.6450980392156862
knn,em,74,0.5853832442067736
lr,em,74,0.6331550802139037
nb,em,75,0.40891265597147947
rf,em,75,0.6447415329768271
knn,em,75,0.5853832442067736
lr,em,75,0.6331550802139037
nb,em,76,0.403030303030303
rf,em,76,0.633511586452763
knn,em,76,0.5737967914438502
lr,em,76,0.6272727272727272
nb,em,77,0.414795008912656
rf,em,77,0.62174688057041
knn,em,77,0.5857397504456328
lr,em,77,0.6215686274509804
nb,em,78,0.39714795008912657
rf,em,78,0.6568627450980392
knn,em,78,0.5857397504456328
lr,em,78,0.6215686274509804
nb,em,79,0.39714795008912657
rf,em,79,0.6506238859180036
knn,em,79,0.5857397504456328
lr,em,79,0.6155080213903743
nb,em,80,0.396969696969697
rf,em,80,0.674866310160428
knn,em,80,0.5857397504456328
lr,em,80,0.6155080213903743
nb,em,81,0.4028520499108734
rf,em,81,0.6393939393939394
knn,em,81,0.5916221033868093
lr,em,81,0.6094474153297683
nb,em,82,0.4147950089126559
rf,em,82,0.6454545454545455
knn,em,82,0.5798573975044563
lr,em,82,0.6092691622103387
nb,em,83,0.40873440285204987
rf,em,83,0.6390374331550802
knn,em,83,0.5975044563279858
lr,em,83,0.6270944741532977
nb,em,84,0.4204991087344029
rf,em,84,0.6506238859180036
knn,em,84,0.5973262032085562
lr,em,84,0.6450980392156863
nb,em,85,0.4204991087344029
rf,em,85,0.6627450980392158
knn,em,85,0.5914438502673798
lr,em,85,0.6509803921568628
nb,em,86,0.4324420677361854
rf,em,86,0.6450980392156863
knn,em,86,0.5914438502673797
lr,em,86,0.6450980392156863
nb,em,87,0.4322638146167558
rf,em,87,0.65650623885918
knn,em,87,0.5914438502673797
lr,em,87,0.6450980392156863
nb,em,88,0.42638146167557933
rf,em,88,0.6686274509803922
knn,em,88,0.5914438502673797
lr,em,88,0.6450980392156863
nb,em,89,0.42638146167557933
rf,em,89,0.6689839572192515
