model,fs_method,k,accuracy,fmeasure,precision,recall,roc
gb,em,5,0.71045197740113,0.6667696859377339,0.7876591247887038,0.71045197740113,0.8314690806878307
ab,em,5,0.7576836158192091,0.7275752839249391,0.8238944960762542,0.7576836158192091,0.8745618386243386
svc,em,5,0.8117514124293784,0.7993483098649226,0.8438757902710922,0.8117514124293784,0.9008845899470899
ri,em,5,0.8184745762711862,0.8061770756545815,0.8507286602793304,0.8184745762711862,0.9044808201058201
xgb,em,5,0.7511299435028249,0.72894358618084,0.788183342346397,0.7511299435028249,0.8202339616402116
lr,em,6,0.815084745762712,0.8044758475238787,0.8465349746615948,0.815084745762712,0.9036623677248677
nb,em,6,0.8084180790960451,0.7866097627181052,0.8493856725192594,0.8084180790960451,0.893915343915344
knn,em,6,0.7846327683615819,0.7738871257827034,0.8158493524748389,0.7846327683615819,0.8564980158730158
rf,em,6,0.7374576271186439,0.7005498120799996,0.8051626653391748,0.7374576271186439,0.8515046296296296
dt,em,6,0.7274011299435028,0.6985510242070577,0.7529414906370406,0.7274011299435028,0.7266699735449735
gb,em,6,0.7207909604519773,0.6882145666104579,0.7744169517282942,0.7207909604519773,0.8649470899470899
ab,em,6,0.7915254237288135,0.7734686361193817,0.8278972801078434,0.7915254237288135,0.8921957671957671
svc,em,6,0.8151412429378532,0.8027790031807754,0.8480943542471078,0.8151412429378532,0.9111607142857142
ri,em,6,0.815084745762712,0.8044758475238787,0.8465349746615948,0.815084745762712,0.9074818121693123
xgb,em,6,0.7442937853107343,0.7175292124588365,0.8012013184757855,0.7442937853107343,0.8510292658730159
lr,em,7,0.8184745762711862,0.8078834524350638,0.8483977385073528,0.8184745762711862,0.904050925925926
nb,em,7,0.7948587570621468,0.773062207231858,0.8357945031792591,0.7948587570621468,0.8922784391534393
knn,em,7,0.8047457627118645,0.7976100360532042,0.83326772276545,0.8047457627118645,0.8613632605820106
rf,em,7,0.7542372881355932,0.7173445958924497,0.8276634226149369,0.7542372881355932,0.8601149140211639
dt,em,7,0.7270056497175141,0.7097359799601012,0.7557868409354389,0.7270056497175141,0.7287698412698412
gb,em,7,0.7208474576271187,0.6914860766977737,0.7581237612490639,0.7208474576271187,0.8630125661375659
ab,em,7,0.7780225988700564,0.7585817528581906,0.8180843684024299,0.7780225988700564,0.8969370039682539
svc,em,7,0.8185310734463276,0.80614176845815,0.8502221780958645,0.8185310734463276,0.9102843915343914
ri,em,7,0.8150847457627117,0.8044993872653723,0.8454793671845398,0.8150847457627117,0.9067460317460319
xgb,em,7,0.7408474576271187,0.7101407659844238,0.7988371157768807,0.7408474576271187,0.8512400793650794
lr,em,8,0.8285310734463277,0.8179734753329582,0.8578143844353455,0.8285310734463277,0.908531746031746
nb,em,8,0.8083615819209038,0.7865899550938511,0.8495668546885004,0.8083615819209038,0.8936094576719578
knn,em,8,0.8045762711864407,0.8001107878607827,0.8279432317801934,0.8045762711864407,0.8694403108465609
rf,em,8,0.774406779661017,0.7513307674708116,0.8334739996453866,0.774406779661017,0.8737351190476191
dt,em,8,0.7337853107344632,0.7224610173071179,0.7604753109245614,0.7337853107344632,0.7337301587301587
gb,em,8,0.7307909604519774,0.6991356862128838,0.798096135597874,0.7307909604519774,0.8690145502645501
ab,em,8,0.7983050847457627,0.7813557896216896,0.8329671009302411,0.7983050847457627,0.8971519510582011
svc,em,8,0.8151977401129944,0.8008157310664492,0.849029538915804,0.8151977401129944,0.9113012566137566
ri,em,8,0.8217514124293785,0.811181939704485,0.853315927042547,0.8217514124293785,0.9114666005291004
xgb,em,8,0.7406779661016948,0.7150517904958482,0.8047976534356586,0.7406779661016948,0.8667204034391535
lr,em,9,0.8218079096045198,0.8112638952583524,0.8524296011018395,0.8218079096045198,0.9088458994708996
nb,em,9,0.8116949152542372,0.7899128241034667,0.8529070073330004,0.8116949152542372,0.8968171296296298
knn,em,9,0.8149152542372882,0.813168678628514,0.8195528122165385,0.8149152542372882,0.8456059854497354
rf,em,9,0.7575706214689266,0.731972828583223,0.81881621451403,0.7575706214689266,0.8751653439153438
dt,em,9,0.727005649717514,0.7098959594685759,0.7523644204486077,0.727005649717514,0.7276124338624338
gb,em,9,0.7375141242937853,0.7087196648684807,0.797419363823927,0.7375141242937853,0.8675512566137566
ab,em,9,0.7847457627118644,0.7664050686184258,0.8256442767759757,0.7847457627118644,0.8986359126984127
svc,em,9,0.8184745762711867,0.806161685853241,0.850280061890483,0.8184745762711867,0.9121693121693122
ri,em,9,0.8218079096045198,0.8112638952583524,0.8524296011018395,0.8218079096045198,0.9119295634920634
xgb,em,9,0.7340112994350282,0.7110649887955145,0.7886288271386558,0.7340112994350282,0.8591435185185186
lr,em,10,0.818418079096045,0.8078585301963443,0.8487206823049698,0.818418079096045,0.9063161375661375
nb,em,10,0.804915254237288,0.7826999810286321,0.8452414817422851,0.804915254237288,0.87900958994709
knn,em,10,0.8081920903954801,0.8063977445017722,0.812718568654437,0.8081920903954801,0.8360243055555557
rf,em,10,0.7137853107344634,0.6626861728535156,0.791989959141031,0.7137853107344634,0.8465401785714285
dt,em,10,0.6803954802259887,0.6328392778240927,0.7686998376199581,0.6803954802259887,0.6833994708994708
gb,em,10,0.6705649717514124,0.6202119413919882,0.7385267530598312,0.6705649717514124,0.8232969576719575
ab,em,10,0.7610169491525424,0.7416515320207692,0.8030139737801028,0.7610169491525424,0.860772156084656
svc,em,10,0.821864406779661,0.8095671017893407,0.8527711772540696,0.821864406779661,0.913053902116402
ri,em,10,0.818418079096045,0.807879830088661,0.8495112297790263,0.818418079096045,0.9090856481481483
xgb,em,10,0.70045197740113,0.6507259574053829,0.7955589842160116,0.70045197740113,0.8376157407407409
lr,em,11,0.818418079096045,0.8078585301963443,0.8487206823049698,0.818418079096045,0.904522156084656
