original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,Label
36,84,7553188,1.715860499,26,2.767659031,115,15.0213518,60.25684211,60,5,110,11.07878192,63.05047268,0.05309448112,6677782.952,0.3492160665,344.4750848,4
31,70,188549025,1.494616744,21,3.598928447,168,12.23513015,49.89267551,49,-22,190,8.579773195,52.26854362,0.2975389171,110589895.3,0.4090055517,242.721583,1
38,74,83022998,1.411324914,19,3.258062316,121,11.33136846,55.55441894,55,4,117,7.932952136,57.37438653,0.2292409008,48695582.8,0.434345811,205.5267658,6
21,89,2332909,2.113297413,37,2.384072803,116,21.0297302,53.9648855,53,-7,123,15.67926395,59.67992233,0.157520848,1368324.032,0.2588590408,649.4842632,7
-35,81,52108625,2.764973919,57,2.996062222,147,35.12846133,32.71017661,42,-125,272,24.65275942,54.75104865,-0.7241741202,46069300.5,0.1763322771,1927.721675,1
99.5,149.3,357559,1.81221203,26,2.212227233,159,15.20247934,126.1363636,127,91,68,9.609375,127.4860064,-0.2228998662,316118.3588,0.3181818182,342.2995868,7
27,90,105970136,2.10546577,33,3.745619651,168,19.91799949,59.79953825,62,-65,233,13.95111648,64.94782925,-0.2989558742,62154796.33,0.2760391847,642.2357485,1
127.1,253.9,18432244,3.001937078,53.75,6.393228415,458,38.25051222,188.153527,183,72,386,23.38475206,195.5534968,1.24043885,10811087.11,0.1580637386,2839.420413,7
56,100,42785670,1.644187568,22,3.283592167,141,13.64882062,77.86611128,78,9,132,9.518338417,79.78108063,0.07293871712,37826864.33,0.3733138869,301.8895418,1
42,89,59859787,1.72862954,25,3.396022655,161,14.81093607,66.06038895,66,-11,172,10.53530627,68.65127787,0.2477991646,52922112.51,0.3521248972,349.0229653,6
26,80,200920637,1.927360617,28,4.191667867,132,17.31666077,53.88867058,56,-74,206,11.86459273,58.3358353,-0.6058335242,173017783.5,0.3158231387,499.080863,1
32,94,249800881,2.050896906,34,3.042089772,159,19.63409663,64.75426765,67,-80,239,14.11922905,69.18031448,-0.3888922391,220849271.1,0.2788303363,592.8007326,1
35,91,1126484195,1.928868659,29,3.257640085,188,17.32347747,63.80861138,65,-47,235,12.26600289,67.45994748,-0.06502055439,995926084.9,0.3087667654,479.3056278,6
129,183.2,793872,1.863595417,29,2.640615845,204,16.67768595,153.6363636,154,113,91,11.57692308,155.1023123,0.3093204629,701863.2275,0.318640955,452.5950413,7
28,83,21403817,1.906746528,29,3.122817565,122,17.12821885,55.94638655,56,-36,158,12.01702533,59.97733045,-0.2048949299,18923141.36,0.3107563025,467.2819995,1
29,92,193061169,2.103815109,32,16.88601742,483,19.68724477,60.72773382,61,-65,548,13.59617164,65.97004829,0.8705143119,143454343,0.2771877801,664.1896163,1
9,55,84439588,1.696811702,23,4.231029712,129,14.37453388,30.60499969,28,-35,164,9.655790275,35.89821481,0.7775010074,62742941.41,0.3638770335,352.0158202,4
25,87,3121238,2.064079824,29,3.623798561,130,19.20170481,57.9284802,60,-28,158,12.62448781,63.13679932,-0.495686328,2319239.797,0.2959847591,630.5466091,6
11,65,32607670,1.880005543,28,3.753871587,105,16.75547514,39.27300557,41,-79,184,11.81987991,44.68141339,-0.5069460154,24989254.74,0.3197446029,454.059736,1
21,66,44318307,1.598551527,25,2.59170544,102,13.93691281,42.38308177,41,-11,113,10.47042266,45.64975649,0.2615900838,33963833.15,0.381005001,287.5746477,3
20,69,135552792,1.748321107,26,16.88194439,142,15.2950707,43.70900974,42,-428,570,10.92565226,47.87714679,-0.3300088961,103882407.1,0.351844195,381.7436526,4
36,88,20211786,1.886948371,26,4.51189399,160,16.44414546,62.42252913,63,-45,205,11.14451018,66.04262562,-0.2893108324,15489529.58,0.3293388512,465.0562555,6
27,87,166237646,2.083904397,31,7.415319806,215,19.17702992,56.88236117,57,-235,450,13.04384386,62.2538789,-0.42174598,146970910.6,0.2864405514,639.9424254,1
25,98,227614230,2.341278798,36,5.139217451,173,23.33665308,62.43443042,65,-305,478,15.32292551,69.65587155,-0.7164683172,201234025.3,0.2428938492,953.8823394,6
133.3,328.1,5442153,3.421185469,99.5,3.236859304,425,57.70968935,216.5673077,206.5,79,346,38.09934563,228.7540037,0.6425949361,4811414.27,0.1109467456,5426.99547,7
34,81,28943868,1.697576092,24,3.332632467,150,14.55014811,56.83571781,56,-2,152,10.20607409,59.74773064,0.3374167034,25589309.88,0.3592831871,339.4924983,1
30,79,184703266,1.823481762,25,5.722724128,276,15.75011206,55.08170198,56,-71,347,10.54851765,58.87884133,-0.3524787268,163296388.3,0.3461644083,432.724063,6
10,72,6589280,2.062840909,32,3.505628733,150,19.10008204,39.18281654,37,-61,211,13.25013356,46.13372317,0.3223027257,5825590.685,0.2850575303,593.0273016,1
113.5,243.5,2296238,2.818868395,64.25,2.717257486,291,40.37811634,166.8947368,150.5,90,201,28.42777778,173.8207637,0.6810389385,2030106.886,0.1779778393,2359.804709,7
44,96,76861263,1.894911244,26,8.38721189,294,16.54537934,71.29767611,72,-54,348,11.0054364,74.71138513,0.2033860248,67953138.69,0.3283578385,498.4324492,1
37,93,12483007,1.929463925,28,4.669739621,120,17.94950266,67.92004971,72,-34,154,11.76276115,71.91027907,-1.077483282,11036242.09,0.3193872529,557.9550827,6
83,160,17399174,2.325869187,43,2.936370642,234,24.03757141,123.078341,124,47,187,17.45194012,126.6337438,0.1620941413,15382631.48,0.2269090446,887.8270424,7
39,98,677522869,2.07346348,29,4.648529249,306,18.76807067,68.1828265,69,-113,419,12.20748642,72.61883643,-0.271075377,598998815.4,0.2949757744,624.5975746,1
43,105,21374196,2.061217099,32,3.281822023,192,19.19871225,72.79591837,71,-4,196,13.36469897,76.77697445,0.2824079113,18896953.4,0.2837305432,595.4580749,7
38,94,221245523,1.993492517,27,4.36512816,185,17.73474421,66.75503143,68,-62,247,11.79254309,70.73234483,-0.3791602018,195603443.4,0.3076614806,546.8303843,1
43,82,539806446,1.511551127,20,4.087602408,186,12.28947472,63.01694703,63,-15,201,8.501506355,64.97352046,0.06231849279,477243553.7,0.4267804719,250.4227473,6
47,86,47193911,1.491761273,20,3.429892773,133,12.30654051,66.13022209,65,-2,135,8.621712551,67.95106854,0.3132358009,33984394.3,0.4280100035,244.1414416,1
39,90,65926854,1.86137504,26,5.773782448,133,16.51097682,65.36845144,68,-82,215,10.96085458,68.9732829,-1.057013594,47474009.97,0.3337411701,484.2793106,6
13,75,24694223,1.993408251,32,2.743913545,112,18.79852402,41.50911267,39,-48,160,13.30410614,47.6763286,0.1970138884,21060344.61,0.2915783249,550.0258742,1
22,62,94152377,1.495507054,21,3.004816351,103,12.47254793,41.59680626,42,-84,187,9.029233033,44.39029457,-0.03484452789,80297383.96,0.4107953981,240.2039613,3
