original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,Label
9,67,66597436,2.005194185,25,6.108155196,243,17.95453489,34.34643126,32,-174,417,11.15779981,42.33643428,0.403537277,45094455.86,0.31662613,612.6963273,Benign
8,66,40293422,2.046730234,27,4.871984686,149,18.64794823,32.9726677,29,-86,235,11.65321221,41.67835084,0.393759575,29784947.91,0.304000828,649.8881131,Benign
-5,53,86232095,2.111864653,29,22.1332849,433,19.36354217,23.95990201,23,-123,556,12.24067144,36.91777779,1.66169938,67442229.29,0.294983282,788.8454129,Benign
10,80,53653671,2.3004037,33,5.206956736,147,22.2561421,42.66362981,43,-135,282,13.86577991,52.55156737,-0.540534944,47435277.6,0.261040051,941.4819241,Benign
-10,48,68915974,2.022167828,28,5.010434593,132,18.20042939,18.79976999,20,-134,266,12.0833855,30.71684414,-0.599167051,60928698.76,0.303876935,590.0931619,Benign
18,61,29041026,1.72979468,21,7.212426302,120,14.45615708,38.11954557,39,-84,204,8.986273184,43.29644451,-0.979284889,19878582.3,0.397433015,421.4823523,Benign
9,80,66549845,2.366207639,36,15.80965078,438,23.75244337,46.23806898,45,-119,557,15.06843935,57.75955577,1.780984784,58836801.15,0.246367124,1198.207259,Benign
-26,51,16143710,2.243943452,33,4.19069427,106,23.48239449,19.91892577,27,-126,232,14.84622263,36.92389295,-1.042532942,14272674.19,0.274464463,966.6102668,Benign
2,61,50791046,2.023011746,29,4.403643208,139,18.43994952,32.07469773,33.5,-122,261,12.58589174,40.09509728,-0.486481753,32730004,0.300011849,578.8305917,Benign
12,63,109530115,1.81991364,24,6.891382649,164,16.49401327,36.03254636,32,-22,186,10.15627978,42.85536876,1.587066774,78872772.72,0.354971946,538.2382345,Benign
-1,82,37065996,2.360610412,41,3.28474503,143,25.58220846,33.36964754,27,-109,252,17.67577935,46.46927892,0.559850379,28696911.1,0.238146633,1045.860506,Benign
-5,53,29862955,2.157565867,27,26.50591709,195,20.24647125,21.00390718,21,-454,649,11.59572511,37.72169582,-2.139749164,23355854.43,0.304311582,981.7622185,Benign
6,70,63499423,2.133458239,30,4.208466328,141,19.91380513,35.77525127,34,-107,248,13.13738627,44.38276103,0.087205176,51308803.77,0.281204476,689.9608728,Benign
6,56,18229880,1.827744871,24,5.455237557,160,15.89924728,29.03930504,27,-34,194,10.30381172,36.02852599,1.014009652,15173093.72,0.341140695,454.773448,Benign
