model,k,accuracy,fmeasure,precision,recall,roc
rf,29,0.9875000000000002,0.987506281668411,0.9885353535353534,0.9875000000000002,0.9957142857142858
rf,30,0.9875000000000002,0.987506281668411,0.9885353535353534,0.9875000000000002,0.9992857142857143
rf,31,0.9833333333333334,0.9834357001023667,0.9854797979797981,0.9833333333333334,0.9989285714285714
rf,32,0.9875000000000002,0.987506281668411,0.9885353535353534,0.9875000000000002,0.9989285714285714
rf,33,0.9833333333333334,0.9833758442046403,0.9853787878787879,0.9833333333333334,0.9982142857142857
rf,34,0.9833333333333334,0.9833758442046403,0.9853787878787881,0.9833333333333334,0.9946428571428572
rf,35,0.9833333333333334,0.9833758442046403,0.9853787878787881,0.9833333333333334,0.9989285714285714
rf,36,0.9875,0.9875803209136542,0.9892676767676768,0.9875,0.9992857142857143
rf,37,0.9833333333333334,0.9833758442046403,0.9853787878787879,0.9833333333333334,0.9996428571428572
rf,38,0.9875,0.9875803209136542,0.9892676767676768,0.9875,0.9982142857142857
rf,39,0.9875,0.9875204650159277,0.9891666666666665,0.9875,0.9982142857142857
rf,40,0.9833333333333334,0.9834357001023667,0.9854797979797981,0.9833333333333334,0.9989285714285714
rf,41,0.9875,0.9875204650159277,0.9891666666666665,0.9875,0.9989285714285714
rf,42,0.9875,0.9875803209136542,0.9892676767676768,0.9875,0.9992857142857143
rf,43,0.9708333333333334,0.9707725607725608,0.9744002525252526,0.9708333333333334,0.9982142857142857
rf,44,0.9876666666666667,0.9876700113485626,0.9886742424242424,0.9876666666666667,0.9949999999999999
rf,45,0.975,0.9750274073489571,0.9781623931623932,0.975,0.9942857142857143
rf,46,0.9791666666666667,0.9791571841481097,0.9808585858585859,0.9791666666666667,0.9949999999999999
rf,47,0.9833333333333334,0.9833758442046403,0.9853787878787879,0.9833333333333334,0.9964285714285716
rf,48,0.975,0.9751007859295822,0.9784343434343434,0.975,0.9985714285714286
rf,49,0.9916666666666668,0.991710758377425,0.9924242424242424,0.9916666666666668,1.0
rf,50,0.9791666666666667,0.9792312233933528,0.9815909090909092,0.9791666666666667,0.9992857142857143
rf,51,0.9833333333333334,0.9833616608571237,0.9847474747474747,0.9833333333333334,0.9985714285714286
rf,52,0.9833333333333334,0.9833018049593972,0.9846464646464647,0.9833333333333334,0.9985714285714286
rf,53,0.9833333333333334,0.9833018049593972,0.9846464646464644,0.9833333333333334,0.9996428571428572
